Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
38.7,4.960847,45.0,27.0,38.7,0,,,,,,,,
,,,,,12,13.0,13,,,,,,
,,,,,40,28.0,28,,,,,,
,,,,,59,19.0,19,,,,,,
,,,,,79,20.0,20,,,,,,
,,,,,89,10.0,10,,,,,,
,,,,,113,24.0,24,,,,,,
,,,,,153,40.0,40,,,,,,
,,,,,174,21.0,21,,,,,,
,,,,,192,18.0,18,,,,,,
,,,,,229,37.0,37,,,,,,
,,,,,245,16.0,16,,,,,,
,,,,,264,19.0,19,,,,,,
,,,,,280,16.0,16,,,,,,
,,,,,305,25.0,25,,,,,,
,,,,,331,26.0,26,,,,,,
,,,,,347,16.0,16,,,,,,
,,,,,367,20.0,20,,,,,,
,,,,,383,16.0,16,,,,,,
,,,,,397,14.0,14,,,,,,
,,,,,419,22.0,22,,,,,,
,,,,,435,16.0,16,,,,,,
,,,,,449,14.0,14,,,,,,
,,,,,471,22.0,22,,,,,,
,,,,,486,15.0,15,,,,,,
,,,,,498,12.0,12,,,,,,
,,,,,517,19.0,19,,,,,,
,,,,,543,26.0,26,,,,,,
,,,,,554,11.0,11,,,,,,
,,,,,563,9.0,9,,,,,,
,,,,,578,15.0,15,,,,,,
,,,,,597,19.0,19,,,,,,
,,,,,615,18.0,18,,,,,,
,,,,,643,28.0,28,,,,,,
,,,,,660,17.0,17,,,,,,
,,,,,698,38.0,38,,,,,,
,,,,,709,11.0,11,,,,,,
,,,,,721,12.0,12,,,,,,
,,,,,735,14.0,14,,,,,,
,,,,,755,20.0,20,,,,,,
,,,,,781,26.0,26,,,,,,
,,,,,805,24.0,24,,,,,,
,,,,,824,19.0,19,,,,,,
,,,,,841,17.0,17,,,,,,
,,,,,855,14.0,14,,,,,,
,,,,,868,13.0,13,,,,,,
,,,,,927,59.0,59,,,,,,
,,,,,946,19.0,19,,,,,,
,,,,,961,15.0,15,,,,,,
,,,,,981,20.0,20,,,,,,
,,,,,1000,,,1.1078824996948242,-0.0343974269926548,1.0163993835449219,3.1738779544830322,0.97,0.0005
,,,,,1005,24.0,24,,,,,,
,,,,,1025,20.0,20,,,,,,
,,,,,1038,13.0,13,,,,,,
,,,,,1084,46.0,46,,,,,,
,,,,,1097,13.0,13,,,,,,
,,,,,1146,49.0,49,,,,,,
,,,,,1177,31.0,31,,,,,,
,,,,,1196,19.0,19,,,,,,
,,,,,1217,21.0,21,,,,,,
,,,,,1254,37.0,37,,,,,,
,,,,,1292,38.0,38,,,,,,
,,,,,1308,16.0,16,,,,,,
,,,,,1320,12.0,12,,,,,,
,,,,,1340,20.0,20,,,,,,
,,,,,1349,9.0,9,,,,,,
,,,,,1362,13.0,13,,,,,,
,,,,,1379,17.0,17,,,,,,
,,,,,1390,11.0,11,,,,,,
,,,,,1402,12.0,12,,,,,,
,,,,,1434,32.0,32,,,,,,
,,,,,1451,17.0,17,,,,,,
,,,,,1462,11.0,11,,,,,,
,,,,,1471,9.0,9,,,,,,
,,,,,1497,26.0,26,,,,,,
,,,,,1528,31.0,31,,,,,,
,,,,,1561,33.0,33,,,,,,
,,,,,1581,20.0,20,,,,,,
,,,,,1605,24.0,24,,,,,,
,,,,,1614,9.0,9,,,,,,
,,,,,1632,18.0,18,,,,,,
,,,,,1651,19.0,19,,,,,,
,,,,,1687,36.0,36,,,,,,
,,,,,1710,23.0,23,,,,,,
,,,,,1723,13.0,13,,,,,,
,,,,,1749,26.0,26,,,,,,
,,,,,1806,57.0,57,,,,,,
,,,,,1828,22.0,22,,,,,,
,,,,,1840,12.0,12,,,,,,
,,,,,1865,25.0,25,,,,,,
,,,,,1885,20.0,20,,,,,,
,,,,,1900,15.0,15,,,,,,
,,,,,1909,9.0,9,,,,,,
,,,,,1923,14.0,14,,,,,,
,,,,,1933,10.0,10,,,,,,
,,,,,1954,21.0,21,,,,,,
,,,,,1969,15.0,15,,,,,,
,,,,,2000,,,0.0003162809007335454,1.031308889389038,1.0307621955871582,0.007560038939118385,0.94,0.0005
,,,,,2004,35.0,35,,,,,,
,,,,,2053,49.0,49,,,,,,
,,,,,2080,27.0,27,,,,,,
,,,,,2102,22.0,22,,,,,,
,,,,,2114,12.0,12,,,,,,
,,,,,2142,28.0,28,,,,,,
,,,,,2162,20.0,20,,,,,,
,,,,,2190,28.0,28,,,,,,
,,,,,2206,16.0,16,,,,,,
,,,,,2231,25.0,25,,,,,,
,,,,,2260,29.0,29,,,,,,
,,,,,2271,11.0,11,,,,,,
,,,,,2287,16.0,16,,,,,,
,,,,,2302,15.0,15,,,,,,
,,,,,2317,15.0,15,,,,,,
,,,,,2343,26.0,26,,,,,,
,,,,,2354,11.0,11,,,,,,
,,,,,2369,15.0,15,,,,,,
,,,,,2389,20.0,20,,,,,,
,,,,,2401,12.0,12,,,,,,
,,,,,2476,75.0,75,,,,,,
9.1,0.7,10.0,8.0,9.1,2500,,,0.050477832555770874,1.9953044652938843,1.9729920625686646,0.18596556782722473,0.925,0.0005
,,,,,2502,26.0,26,,,,,,
,,,,,2518,16.0,16,,,,,,
,,,,,2539,21.0,21,,,,,,
,,,,,2552,13.0,13,,,,,,
,,,,,2569,17.0,17,,,,,,
,,,,,2585,16.0,16,,,,,,
,,,,,2609,24.0,24,,,,,,
,,,,,2626,17.0,17,,,,,,
,,,,,2638,12.0,12,,,,,,
,,,,,2652,14.0,14,,,,,,
,,,,,2709,57.0,57,,,,,,
,,,,,2723,14.0,14,,,,,,
,,,,,2750,27.0,27,,,,,,
,,,,,2773,23.0,23,,,,,,
,,,,,2815,42.0,42,,,,,,
,,,,,2837,22.0,22,,,,,,
,,,,,2850,13.0,13,,,,,,
,,,,,2883,33.0,33,,,,,,
,,,,,2903,20.0,20,,,,,,
,,,,,2920,17.0,17,,,,,,
,,,,,2930,10.0,10,,,,,,
,,,,,2939,9.0,9,,,,,,
,,,,,2968,29.0,29,,,,,,
,,,,,2997,29.0,29,,,,,,
,,,,,3000,,,0.027181115001440048,2.000983715057373,2.0133748054504395,0.1970989853143692,0.91,0.0005
,,,,,3017,20.0,20,,,,,,
