Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-232.32625,52.003036,-117.30666,-305.62314,1000.0,0,,,,,,,,,,,,
,,,,,999,-302.97305,1000,,,,,,,,,,
,,,,,1999,-295.49585,1000,,,,,,,,,,
,,,,,2999,-209.14624,1000,,,,,,,,,,
,,,,,3999,-332.95453,1000,,,,,,,,,,
,,,,,4999,-159.98828,1000,,,,,,,,,,
-215.9891,51.59103,-154.47374,-334.3131,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-228.88898,1000,,,,,,,,,,
,,,,,6999,-238.51324,1000,,,,,,,,,,
,,,,,7999,-207.7309,1000,,,,,,,,,,
,,,,,8999,-127.689384,1000,,,,,,,,,,
,,,,,9999,-132.66554,1000,,,,,,,,,,
-246.95425,37.441956,-199.16624,-340.56006,1000.0,10000,,,-0.3534916341304779,3.7556910514831543,0.4591463506221771,-0.014437040314078331,0.05032557621598244,0.10000000149011612,0.9682196378707886,0.0003,0.0003,0.09999001026153564
,,,,,10999,-191.49847,1000,,,,,,,,,,
,,,,,11000,,,-2.3720383644104004,2.1066842079162598,0.4472663402557373,1.6396794319152832,1.5915372371673584,0.09077849984169006,0.7451800107955933,0.0003,0.0003,0.09077008813619614
,,,,,11999,-234.43379,1000,,,,,,,,,,
,,,,,12000,,,-3.7827045917510986,2.6947834491729736,0.6419684290885925,3.2809300422668457,3.2850887775421143,0.08254820853471756,0.7157022953033447,0.0003,0.0003,0.0825403556227684
,,,,,12999,-281.665,1000,,,,,,,,,,
,,,,,13000,,,-5.229891777038574,1.8012869358062744,0.7525663375854492,4.531355857849121,4.6357831954956055,0.07539726048707962,0.5868191123008728,0.0003,0.0003,0.07539079338312149
,,,,,13999,-226.4208,1000,,,,,,,,,,
,,,,,14000,,,-7.537487983703613,0.9036812782287598,0.8228731155395508,6.699775695800781,6.881658554077148,0.06924690306186676,0.4896343946456909,0.0003,0.0003,0.06924106180667877
,,,,,14999,-178.62688,1000,,,,,,,,,,
-151.0677,15.678207,-125.827034,-176.5134,1000.0,15000,,,-9.71091365814209,0.6554037928581238,0.5159963369369507,8.801273345947266,8.788333892822266,0.06362343579530716,0.42831748723983765,0.0003,0.0003,0.06361797451972961
,,,,,15999,-109.35363,1000,,,,,,,,,,
,,,,,16000,,,-12.221497535705566,0.5216876268386841,0.3384242355823517,11.267709732055664,11.332878112792969,0.058340054005384445,0.37032246589660645,0.0003,0.0003,0.0583350732922554
,,,,,16999,-80.28131,1000,,,,,,,,,,
,,,,,17000,,,-12.96915054321289,0.6601347327232361,0.4668041169643402,12.280619621276855,12.218268394470215,0.05340035632252693,0.34762561321258545,0.0003,0.0003,0.05339561775326729
,,,,,17999,916.97235,1000,,,,,,,,,,
,,,,,18000,,,-14.013482093811035,0.3661925792694092,0.48975539207458496,13.37937068939209,13.44845199584961,0.04889867454767227,0.30915212631225586,0.0003,0.0003,0.0488944947719574
,,,,,18999,116.098915,1000,,,,,,,,,,
,,,,,19000,,,-17.018495559692383,-0.4253823161125183,0.4877088963985443,16.26212501525879,16.205520629882812,0.04493416100740433,0.25744718313217163,0.0003,0.0003,0.04493040591478348
,,,,,19999,339.1935,1000,,,,,,,,,,
959.117,411.35214,1230.0577,73.46096,1000.0,20000,,,-18.405961990356445,-0.3621055483818054,0.42763274908065796,17.67087173461914,17.640480041503906,0.04138129577040672,0.22916492819786072,0.0003,0.0003,0.04137789085507393
,,,,,20999,1233.9359,1000,,,,,,,,,,
,,,,,21000,,,-22.558881759643555,-1.2400078773498535,0.4091150164604187,21.750268936157227,21.844459533691406,0.038165152072906494,0.18199220299720764,0.0003,0.0003,0.03816214203834534
,,,,,21999,1407.6724,1000,,,,,,,,,,
,,,,,22000,,,-26.485279083251953,-2.156123161315918,0.3619346618652344,25.526533126831055,25.615455627441406,0.03528278321027756,0.13255155086517334,0.0003,0.0003,0.035280026495456696
,,,,,22999,1575.9489,1000,,,,,,,,,,
,,,,,23000,,,-29.19778060913086,-2.858318328857422,0.38217416405677795,28.307754516601562,28.267154693603516,0.032703518867492676,0.11119381338357925,0.0003,0.0003,0.03270115703344345
,,,,,23999,1724.1141,1000,,,,,,,,,,
,,,,,24000,,,-34.573890686035156,-3.843137264251709,0.5142912864685059,33.57225036621094,33.78882598876953,0.030521893873810768,0.06850078701972961,0.0003,0.0003,0.03052002564072609
,,,,,24999,1899.4625,1000,,,,,,,,,,
1820.9827,387.6906,2006.8485,664.1186,1000.0,25000,,,-42.17009735107422,-4.028043270111084,0.4685574173927307,41.05132293701172,41.203433990478516,0.028878305107355118,0.055440738797187805,0.0003,0.0003,0.02887691557407379
,,,,,25999,1991.3119,1000,,,,,,,,,,
,,,,,26000,,,-46.67103958129883,-5.472805023193359,0.44857221841812134,45.430755615234375,45.57036209106445,0.027795890346169472,0.02285344898700714,0.0003,0.0003,0.027795134112238884
,,,,,26999,2061.8096,1000,,,,,,,,,,
,,,,,27000,,,-52.7406005859375,-5.87570858001709,0.4641858637332916,51.49932861328125,51.44013977050781,0.02684720605611801,0.01265781745314598,0.0003,0.0003,0.026846228167414665
,,,,,27999,2226.4744,1000,,,,,,,,,,
,,,,,28000,,,-56.621334075927734,-5.451003551483154,0.41498303413391113,55.48347473144531,55.44819641113281,0.025899453088641167,0.015805557370185852,0.0003,0.0003,0.025898706167936325
,,,,,28999,2350.0732,1000,,,,,,,,,,
,,,,,29000,,,-64.46200561523438,-5.938218116760254,0.4104193449020386,63.261749267578125,63.24632263183594,0.025504307821393013,0.0007383548654615879,0.0003,0.0003,0.02550395019352436
,,,,,29999,2386.1514,1000,,,,,,,,,,
2602.6665,44.26551,2650.7585,2503.2983,1000.0,30000,,,-73.05097198486328,-6.18063497543335,0.4149966835975647,71.7489013671875,71.82026672363281,0.025597665458917618,0.0009770533069968224,0.0003,0.0003,0.025598226115107536
,,,,,30999,2614.114,1000,,,,,,,,,,
,,,,,31000,,,-80.29322814941406,-6.491614818572998,0.3162098526954651,78.93864440917969,78.94351959228516,0.026976386085152626,-0.012111151590943336,0.0003,0.0003,0.026978874579072
,,,,,31999,2705.6133,1000,,,,,,,,,,
,,,,,32000,,,-85.51102447509766,-5.903167247772217,0.47722214460372925,84.08984375,84.1432113647461,0.02883194573223591,0.001233719289302826,0.0003,0.0003,0.02883378602564335
,,,,,32999,2864.5908,1000,,,,,,,,,,
,,,,,33000,,,-95.48393249511719,-5.827009201049805,0.4805223345756531,94.15350341796875,94.12078857421875,0.03039681911468506,-0.0008681523613631725,0.0003,0.0003,0.03039821796119213
,,,,,33999,2882.4563,1000,,,,,,,,,,
,,,,,34000,,,-99.73567962646484,-5.898388385772705,0.5430543422698975,98.25789642333984,98.42461395263672,0.03188764676451683,0.0002119150012731552,0.0003,0.0003,0.031888801604509354
,,,,,34999,2902.598,1000,,,,,,,,,,
1573.0146,1246.967,2943.495,-14.737612,1000.0,35000,,,-106.28392791748047,-6.13667106628418,0.5054135918617249,104.83045959472656,104.86572265625,0.03328106552362442,-0.008066285401582718,0.0003,0.0003,0.033282969146966934
,,,,,35999,2889.9175,1000,,,,,,,,,,
,,,,,36000,,,-112.68553924560547,-5.917839050292969,0.4547761082649231,111.31094360351562,111.36571502685547,0.03435877710580826,0.0031312014907598495,0.0003,0.0003,0.034360166639089584
,,,,,36999,2922.398,1000,,,,,,,,,,
,,,,,37000,,,-121.80340576171875,-6.25028657913208,0.5606812834739685,120.41059875488281,120.50269317626953,0.035133592784404755,-0.008952835574746132,0.0003,0.0003,0.03513257950544357
,,,,,37999,887.1292,1000,,,,,,,,,,
,,,,,38000,,,-125.46337890625,-5.346252918243408,0.5710592269897461,124.1513442993164,124.24949645996094,0.03437238559126854,0.02970871888101101,0.0003,0.0003,0.03436749428510666
,,,,,38999,2869.7588,1000,,,,,,,,,,
,,,,,39000,,,-133.5238037109375,-5.602905750274658,0.5254075527191162,132.12811279296875,132.20700073242188,0.030920762568712234,0.012842610478401184,0.0003,0.0003,0.030918551608920097
,,,,,39999,2655.7444,1000,,,,,,,,,,
2773.0125,232.95267,2989.8547,2279.215,1000.0,40000,,,-135.8305206298828,-5.706362247467041,0.5118522047996521,134.6738739013672,134.67745971679688,0.029496407136321068,0.012728765606880188,0.0003,0.0003,0.029496103525161743
,,,,,40999,2840.914,1000,,,,,,,,,,
,,,,,41000,,,-141.9107208251953,-5.7770094871521,0.5509049892425537,140.74954223632812,140.81158447265625,0.029515394940972328,-0.0021062279120087624,0.0003,0.0003,0.029516343027353287
,,,,,41999,2918.5154,1000,,,,,,,,,,
,,,,,42000,,,-147.74290466308594,-6.179553031921387,0.6440954804420471,146.80699157714844,146.71287536621094,0.03103778511285782,-0.002474087756127119,0.0003,0.0003,0.031041383743286133
,,,,,42999,3026.9229,1000,,,,,,,,,,
,,,,,43000,,,-151.44073486328125,-6.03584098815918,0.5333098769187927,150.2515869140625,150.29025268554688,0.03252960741519928,0.0010457300813868642,0.0003,0.0003,0.032530784606933594
,,,,,43999,2932.252,1000,,,,,,,,,,
,,,,,44000,,,-155.02536010742188,-6.578882217407227,0.8782961964607239,153.646240234375,153.6955108642578,0.034507811069488525,-0.011113272979855537,0.0003,0.0003,0.03450969606637955
,,,,,44999,2975.748,1000,,,,,,,,,,
3056.2996,38.20656,3100.699,2956.8481,1000.0,45000,,,-161.61122131347656,-6.248550891876221,0.6835179328918457,160.23399353027344,160.17405700683594,0.03614874929189682,-0.015877695754170418,0.0003,0.0003,0.03614961355924606
,,,,,45999,3008.6763,1000,,,,,,,,,,
,,,,,46000,,,-169.32284545898438,-6.375759124755859,0.7984319925308228,167.8460693359375,167.80438232421875,0.03765016421675682,-0.00874764658510685,0.0003,0.0003,0.03765076398849487
,,,,,46999,3077.0542,1000,,,,,,,,,,
,,,,,47000,,,-173.37109375,-6.774955749511719,1.1289863586425781,171.5793914794922,171.63058471679688,0.04156266897916794,-0.024476079270243645,0.0003,0.0003,0.04156644269824028
,,,,,47999,2981.6187,1000,,,,,,,,,,
,,,,,48000,,,-182.43516540527344,-5.94647216796875,0.7546807527542114,181.20278930664062,181.14627075195312,0.0421614907681942,0.025690656155347824,0.0003,0.0003,0.0421588234603405
,,,,,48999,3155.9202,1000,,,,,,,,,,
,,,,,49000,,,-186.0408172607422,-5.574501037597656,0.5698075890541077,184.75738525390625,184.62301635742188,0.03992386534810066,0.028437841683626175,0.0003,0.0003,0.03991959989070892
,,,,,49999,3170.6929,1000,,,,,,,,,,
3211.5989,31.312809,3256.9402,3163.8047,1000.0,50000,,,-190.66708374023438,-5.912032604217529,0.522166907787323,189.2705535888672,189.32666015625,0.03828021511435509,0.007030902896076441,0.0003,0.0003,0.03827962279319763
,,,,,50999,3193.715,1000,,,,,,,,,,
,,,,,51000,,,-193.8265838623047,-6.3189802169799805,0.8040430545806885,192.21749877929688,192.34312438964844,0.03837450593709946,0.000609295442700386,0.0003,0.0003,0.0383751317858696
,,,,,51999,3260.2563,1000,,,,,,,,,,
