Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-256.258,61.931995,-97.01061,-344.48853,1000.0,0,,,,,,,,,,
,,,,,999,-315.7917,1000,,,,,,,,
,,,,,1999,-345.31042,1000,,,,,,,,
,,,,,2999,-242.97891,1000,,,,,,,,
,,,,,3999,-155.50587,1000,,,,,,,,
,,,,,4999,-264.38278,1000,,,,,,,,
-204.06573,50.92186,-126.944565,-299.6753,1000.0,5000,,,,,,,,,,
,,,,,5999,-177.57953,1000,,,,,,,,
,,,,,6999,-188.34808,1000,,,,,,,,
,,,,,7999,-229.56842,1000,,,,,,,,
,,,,,8999,-122.93278,1000,,,,,,,,
,,,,,9999,-321.29938,1000,,,,,,,,
-258.1895,72.21673,-132.03127,-425.07343,1000.0,10000,,,-0.34709781408309937,3.7361373901367188,0.4673856794834137,-0.026309967041015625,0.012899491935968399,0.0003,0.0003,0.1
,,,,,10999,-202.87512,1000,,,,,,,,
,,,,,11000,,,-2.3649184703826904,2.5256807804107666,0.491264283657074,1.6636981964111328,1.6663057804107666,0.0003,0.0003,0.1
,,,,,11999,-237.60802,1000,,,,,,,,
,,,,,12000,,,-3.840693235397339,3.014554023742676,0.6303683519363403,3.3076117038726807,3.268735885620117,0.0003,0.0003,0.1
,,,,,12999,-284.76685,1000,,,,,,,,
,,,,,13000,,,-5.346020698547363,2.543877363204956,0.7819736003875732,4.671712398529053,4.624144554138184,0.0003,0.0003,0.1
,,,,,13999,-281.67114,1000,,,,,,,,
,,,,,14000,,,-7.695024490356445,2.1690707206726074,0.7196611762046814,6.980165481567383,6.995741844177246,0.0003,0.0003,0.1
,,,,,14999,-232.85934,1000,,,,,,,,
-211.5657,32.942707,-149.70743,-270.60953,1000.0,15000,,,-10.221842765808105,2.1312947273254395,0.5764576196670532,9.394251823425293,9.468838691711426,0.0003,0.0003,0.1
,,,,,15999,-168.70064,1000,,,,,,,,
,,,,,16000,,,-12.856356620788574,2.0386605262756348,0.5639113187789917,11.963934898376465,11.96523666381836,0.0003,0.0003,0.1
,,,,,16999,-168.44218,1000,,,,,,,,
,,,,,17000,,,-13.891715049743652,2.447479248046875,0.5439966917037964,13.138288497924805,13.001386642456055,0.0003,0.0003,0.1
,,,,,17999,-194.33226,1000,,,,,,,,
,,,,,18000,,,-15.881908416748047,2.1329259872436523,0.4457342326641083,15.039224624633789,14.931495666503906,0.0003,0.0003,0.1
,,,,,18999,-37.15994,1000,,,,,,,,
,,,,,19000,,,-17.803882598876953,2.0101749897003174,0.4698749780654907,16.982423782348633,16.98080062866211,0.0003,0.0003,0.1
,,,,,19999,75.546875,1000,,,,,,,,
222.75272,223.61324,686.4815,24.881907,1000.0,20000,,,-19.000598907470703,2.0361404418945312,0.5073840618133545,18.1654052734375,18.075849533081055,0.0003,0.0003,0.1
,,,,,20999,97.61012,1000,,,,,,,,
,,,,,21000,,,-21.989402770996094,1.63936185836792,0.4812667965888977,21.281963348388672,21.23653221130371,0.0003,0.0003,0.1
,,,,,21999,491.15054,1000,,,,,,,,
,,,,,22000,,,-24.286046981811523,1.7695521116256714,0.4845070242881775,23.342105865478516,23.437196731567383,0.0003,0.0003,0.1
,,,,,22999,706.7777,1000,,,,,,,,
,,,,,23000,,,-25.855247497558594,1.6898795366287231,0.5068901777267456,25.056594848632812,24.982101440429688,0.0003,0.0003,0.1
,,,,,23999,948.4476,1000,,,,,,,,
,,,,,24000,,,-29.092912673950195,1.25185227394104,0.5305005311965942,28.128137588500977,28.268722534179688,0.0003,0.0003,0.1
,,,,,24999,1025.0115,1000,,,,,,,,
1005.2655,59.298702,1088.6146,892.9464,1000.0,25000,,,-33.65309524536133,1.3632911443710327,0.5602617263793945,32.82197189331055,32.87818908691406,0.0003,0.0003,0.1
,,,,,25999,1150.9894,1000,,,,,,,,
,,,,,26000,,,-36.38360595703125,0.524132251739502,0.45589783787727356,35.39897918701172,35.415130615234375,0.0003,0.0003,0.1
,,,,,26999,1253.5472,1000,,,,,,,,
,,,,,27000,,,-39.41077423095703,0.7242000102996826,0.40473878383636475,38.334320068359375,38.42124938964844,0.0003,0.0003,0.1
,,,,,27999,1366.069,1000,,,,,,,,
