Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
16.68118,6.9354687,30.518812,7.209612,18.8,0,,,,,,,,,,
,,,,,11,8.782521,12,,,,,,,,
,,,,,21,6.7512584,10,,,,,,,,
,,,,,42,22.524832,21,,,,,,,,
,,,,,63,22.911617,21,,,,,,,,
,,,,,86,17.532799,23,,,,,,,,
,,,,,111,13.110384,25,,,,,,,,
,,,,,128,12.981853,17,,,,,,,,
,,,,,158,28.084457,30,,,,,,,,
,,,,,169,9.022103,11,,,,,,,,
,,,,,187,15.512313,18,,,,,,,,
,,,,,216,34.187004,29,,,,,,,,
,,,,,248,26.460934,32,,,,,,,,
,,,,,266,18.116701,18,,,,,,,,
,,,,,277,8.490129,11,,,,,,,,
,,,,,288,7.771879,11,,,,,,,,
,,,,,298,6.8333926,10,,,,,,,,
,,,,,308,7.3153963,10,,,,,,,,
,,,,,332,18.048141,24,,,,,,,,
,,,,,349,17.094099,17,,,,,,,,
,,,,,364,11.029524,15,,,,,,,,
,,,,,377,11.557882,13,,,,,,,,
,,,,,392,13.568327,15,,,,,,,,
,,,,,406,10.675972,14,,,,,,,,
,,,,,415,7.389848,9,,,,,,,,
,,,,,442,11.087319,27,,,,,,,,
,,,,,455,10.717225,13,,,,,,,,
,,,,,482,16.553389,27,,,,,,,,
,,,,,515,31.372898,33,,,,,,,,
,,,,,526,8.508314,11,,,,,,,,
,,,,,541,11.316653,15,,,,,,,,
,,,,,559,15.049399,18,,,,,,,,
,,,,,583,9.561017,24,,,,,,,,
,,,,,594,6.247746,11,,,,,,,,
,,,,,619,21.795403,25,,,,,,,,
,,,,,642,16.198473,23,,,,,,,,
,,,,,654,10.782102,12,,,,,,,,
,,,,,689,27.594131,35,,,,,,,,
,,,,,700,7.7303605,11,,,,,,,,
,,,,,713,10.971386,13,,,,,,,,
,,,,,748,38.233223,35,,,,,,,,
,,,,,761,7.3979597,13,,,,,,,,
,,,,,800,39.327908,39,,,,,,,,
,,,,,836,15.6867485,36,,,,,,,,
,,,,,856,17.413532,20,,,,,,,,
