Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
16.789495,6.1151996,28.09864,7.159784,18.9,0,,,,,,,,,,
,,,,,16,13.911079,17,,,,,,,,
,,,,,30,10.243753,14,,,,,,,,
,,,,,57,23.928467,27,,,,,,,,
,,,,,69,7.429267,12,,,,,,,,
,,,,,89,13.020597,20,,,,,,,,
,,,,,120,35.104492,31,,,,,,,,
,,,,,162,33.714146,42,,,,,,,,
,,,,,190,31.267715,28,,,,,,,,
,,,,,213,19.84602,23,,,,,,,,
,,,,,232,14.831217,19,,,,,,,,
,,,,,251,11.806774,19,,,,,,,,
,,,,,262,9.809257,11,,,,,,,,
,,,,,279,12.275902,17,,,,,,,,
,,,,,298,20.754568,19,,,,,,,,
,,,,,319,11.51503,21,,,,,,,,
,,,,,333,8.489436,14,,,,,,,,
,,,,,350,10.589788,17,,,,,,,,
,,,,,367,12.0547,17,,,,,,,,
,,,,,390,17.84749,23,,,,,,,,
,,,,,412,20.491322,22,,,,,,,,
,,,,,426,9.653753,14,,,,,,,,
,,,,,439,9.623908,13,,,,,,,,
,,,,,482,64.10046,43,,,,,,,,
,,,,,498,14.091462,16,,,,,,,,
,,,,,523,14.497154,25,,,,,,,,
,,,,,539,11.774103,16,,,,,,,,
,,,,,553,12.2620325,14,,,,,,,,
,,,,,569,6.5818267,16,,,,,,,,
,,,,,583,12.571414,14,,,,,,,,
,,,,,612,19.300213,29,,,,,,,,
,,,,,632,16.35728,20,,,,,,,,
,,,,,645,9.825783,13,,,,,,,,
,,,,,669,23.832373,24,,,,,,,,
,,,,,722,49.771656,53,,,,,,,,
,,,,,752,28.552965,30,,,,,,,,
,,,,,778,24.220476,26,,,,,,,,
,,,,,798,17.768085,20,,,,,,,,
,,,,,851,49.218563,53,,,,,,,,
,,,,,870,13.198882,19,,,,,,,,
,,,,,880,7.77953,10,,,,,,,,
,,,,,903,5.9086747,23,,,,,,,,
,,,,,933,23.66996,30,,,,,,,,
,,,,,948,9.848874,15,,,,,,,,
,,,,,963,9.493196,15,,,,,,,,
,,,,,972,6.151902,9,,,,,,,,
,,,,,1000,32.79167,28,,,,,,,,
,,,,,1022,10.937533,22,,,,,,,,
,,,,,1038,11.762077,16,,,,,,,,
,,,,,1063,15.900284,25,,,,,,,,
,,,,,1082,14.176374,19,,,,,,,,
,,,,,1102,8.542113,20,,,,,,,,
,,,,,1129,27.36067,27,,,,,,,,
,,,,,1143,10.787269,14,,,,,,,,
,,,,,1163,11.677103,20,,,,,,,,
,,,,,1175,9.162909,12,,,,,,,,
,,,,,1197,21.638662,22,,,,,,,,
,,,,,1224,13.257633,27,,,,,,,,
,,,,,1272,37.271618,48,,,,,,,,
,,,,,1296,18.483265,24,,,,,,,,
,,,,,1308,8.389304,12,,,,,,,,
,,,,,1330,19.652004,22,,,,,,,,
,,,,,1349,21.09713,19,,,,,,,,
,,,,,1397,38.904892,48,,,,,,,,
,,,,,1426,15.45065,29,,,,,,,,
,,,,,1450,19.668213,24,,,,,,,,
,,,,,1471,19.595602,21,,,,,,,,
,,,,,1494,9.781432,23,,,,,,,,
,,,,,1505,8.216957,11,,,,,,,,
,,,,,1522,13.833718,17,,,,,,,,
,,,,,1534,7.044093,12,,,,,,,,
,,,,,1550,11.211212,16,,,,,,,,
,,,,,1576,30.94792,26,,,,,,,,
,,,,,1602,21.284172,26,,,,,,,,
,,,,,1620,17.83395,18,,,,,,,,
,,,,,1641,19.864166,21,,,,,,,,
,,,,,1676,13.2829,35,,,,,,,,
,,,,,1700,16.65452,24,,,,,,,,
,,,,,1715,13.41336,15,,,,,,,,
,,,,,1753,33.688557,38,,,,,,,,
,,,,,1770,13.2132845,17,,,,,,,,
,,,,,1785,13.794693,15,,,,,,,,
,,,,,1798,10.508491,13,,,,,,,,
,,,,,1812,7.8833833,14,,,,,,,,
,,,,,1829,10.378842,17,,,,,,,,
,,,,,1842,11.606478,13,,,,,,,,
,,,,,1863,16.587727,21,,,,,,,,
,,,,,1877,9.105392,14,,,,,,,,
,,,,,1899,24.904404,22,,,,,,,,
,,,,,1913,12.82074,14,,,,,,,,
,,,,,1932,17.35568,19,,,,,,,,
,,,,,1956,13.386652,24,,,,,,,,
,,,,,1973,10.41536,17,,,,,,,,
,,,,,2005,27.722462,32,,,,,,,,
,,,,,2021,6.829409,16,,,,,,,,
,,,,,2037,10.577849,16,,,,,,,,
,,,,,2046,7.170419,9,,,,,,,,
