Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
6.3,3.407345,14.0,3.0,6.3,0,,,,,,,,,,,,
,,,,,5,6.0,6,,,,,,,,,,
,,,,,10,5.0,5,,,,,,,,,,
,,,,,14,4.0,4,,,,,,,,,,
,,,,,22,8.0,8,,,,,,,,,,
,,,,,28,6.0,6,,,,,,,,,,
,,,,,32,4.0,4,,,,,,,,,,
,,,,,36,4.0,4,,,,,,,,,,
,,,,,39,3.0,3,,,,,,,,,,
,,,,,42,3.0,3,,,,,,,,,,
,,,,,48,6.0,6,,,,,,,,,,
,,,,,54,6.0,6,,,,,,,,,,
,,,,,59,5.0,5,,,,,,,,,,
,,,,,72,13.0,13,,,,,,,,,,
,,,,,77,5.0,5,,,,,,,,,,
,,,,,80,3.0,3,,,,,,,,,,
,,,,,91,11.0,11,,,,,,,,,,
,,,,,113,22.0,22,,,,,,,,,,
,,,,,125,12.0,12,,,,,,,,,,
,,,,,129,4.0,4,,,,,,,,,,
,,,,,135,6.0,6,,,,,,,,,,
,,,,,142,7.0,7,,,,,,,,,,
,,,,,146,4.0,4,,,,,,,,,,
,,,,,151,5.0,5,,,,,,,,,,
,,,,,165,14.0,14,,,,,,,,,,
,,,,,170,5.0,5,,,,,,,,,,
,,,,,182,12.0,12,,,,,,,,,,
,,,,,186,4.0,4,,,,,,,,,,
,,,,,191,5.0,5,,,,,,,,,,
,,,,,200,9.0,9,,,,,,,,,,
,,,,,203,3.0,3,,,,,,,,,,
,,,,,207,4.0,4,,,,,,,,,,
,,,,,216,9.0,9,,,,,,,,,,
,,,,,221,5.0,5,,,,,,,,,,
,,,,,229,8.0,8,,,,,,,,,,
,,,,,235,6.0,6,,,,,,,,,,
,,,,,239,4.0,4,,,,,,,,,,
,,,,,246,7.0,7,,,,,,,,,,
,,,,,251,5.0,5,,,,,,,,,,
,,,,,254,3.0,3,,,,,,,,,,
,,,,,267,13.0,13,,,,,,,,,,
,,,,,273,6.0,6,,,,,,,,,,
,,,,,279,6.0,6,,,,,,,,,,
,,,,,284,5.0,5,,,,,,,,,,
,,,,,289,5.0,5,,,,,,,,,,
,,,,,296,7.0,7,,,,,,,,,,
,,,,,301,5.0,5,,,,,,,,,,
,,,,,304,3.0,3,,,,,,,,,,
