Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.2,3.3406587,14.0,3.0,6.2,0,,,,,,,,
,,,,,3,4.0,4,,,,,,
,,,,,9,6.0,6,,,,,,
,,,,,14,5.0,5,,,,,,
,,,,,17,3.0,3,,,,,,
,,,,,25,8.0,8,,,,,,
,,,,,29,4.0,4,,,,,,
,,,,,33,4.0,4,,,,,,
,,,,,36,3.0,3,,,,,,
,,,,,40,4.0,4,,,,,,
,,,,,44,4.0,4,,,,,,
,,,,,48,4.0,4,,,,,,
,,,,,53,5.0,5,,,,,,
,,,,,57,4.0,4,,,,,,
,,,,,61,4.0,4,,,,,,
,,,,,67,6.0,6,,,,,,
,,,,,78,11.0,11,,,,,,
,,,,,81,3.0,3,,,,,,
,,,,,89,8.0,8,,,,,,
,,,,,97,8.0,8,,,,,,
,,,,,102,5.0,5,,,,,,
,,,,,110,8.0,8,,,,,,
,,,,,118,8.0,8,,,,,,
,,,,,123,5.0,5,,,,,,
,,,,,127,4.0,4,,,,,,
,,,,,131,4.0,4,,,,,,
,,,,,135,4.0,4,,,,,,
,,,,,141,6.0,6,,,,,,
,,,,,144,3.0,3,,,,,,
,,,,,148,4.0,4,,,,,,
,,,,,155,7.0,7,,,,,,
,,,,,162,7.0,7,,,,,,
,,,,,168,6.0,6,,,,,,
,,,,,174,6.0,6,,,,,,
,,,,,193,19.0,19,,,,,,
,,,,,197,4.0,4,,,,,,
,,,,,200,3.0,3,,,,,,
,,,,,206,6.0,6,,,,,,
,,,,,215,9.0,9,,,,,,
,,,,,219,4.0,4,,,,,,
,,,,,222,3.0,3,,,,,,
,,,,,231,9.0,9,,,,,,
,,,,,236,5.0,5,,,,,,
,,,,,245,9.0,9,,,,,,
,,,,,254,9.0,9,,,,,,
,,,,,257,3.0,3,,,,,,
,,,,,261,4.0,4,,,,,,
,,,,,268,7.0,7,,,,,,
,,,,,273,5.0,5,,,,,,
,,,,,279,6.0,6,,,,,,
,,,,,282,3.0,3,,,,,,
,,,,,295,13.0,13,,,,,,
,,,,,305,10.0,10,,,,,,
,,,,,314,9.0,9,,,,,,
,,,,,317,3.0,3,,,,,,
,,,,,325,8.0,8,,,,,,
,,,,,331,6.0,6,,,,,,
,,,,,334,3.0,3,,,,,,
,,,,,339,5.0,5,,,,,,
,,,,,342,3.0,3,,,,,,
,,,,,345,3.0,3,,,,,,
,,,,,350,5.0,5,,,,,,
,,,,,355,5.0,5,,,,,,
,,,,,359,4.0,4,,,,,,
,,,,,369,10.0,10,,,,,,
,,,,,376,7.0,7,,,,,,
,,,,,380,4.0,4,,,,,,
,,,,,386,6.0,6,,,,,,
,,,,,390,4.0,4,,,,,,
,,,,,398,8.0,8,,,,,,
,,,,,410,12.0,12,,,,,,
,,,,,419,9.0,9,,,,,,
,,,,,422,3.0,3,,,,,,
,,,,,432,10.0,10,,,,,,
,,,,,438,6.0,6,,,,,,
,,,,,446,8.0,8,,,,,,
,,,,,459,13.0,13,,,,,,
,,,,,462,3.0,3,,,,,,
,,,,,476,14.0,14,,,,,,
,,,,,485,9.0,9,,,,,,
,,,,,491,6.0,6,,,,,,
,,,,,499,8.0,8,,,,,,
,,,,,513,14.0,14,,,,,,
,,,,,517,4.0,4,,,,,,
,,,,,524,7.0,7,,,,,,
,,,,,528,4.0,4,,,,,,
,,,,,536,8.0,8,,,,,,
,,,,,539,3.0,3,,,,,,
,,,,,545,6.0,6,,,,,,
,,,,,548,3.0,3,,,,,,
,,,,,552,4.0,4,,,,,,
,,,,,557,5.0,5,,,,,,
,,,,,560,3.0,3,,,,,,
,,,,,565,5.0,5,,,,,,
,,,,,577,12.0,12,,,,,,
,,,,,582,5.0,5,,,,,,
,,,,,588,6.0,6,,,,,,
,,,,,594,6.0,6,,,,,,
,,,,,597,3.0,3,,,,,,
,,,,,602,5.0,5,,,,,,
,,,,,608,6.0,6,,,,,,
,,,,,613,5.0,5,,,,,,
,,,,,619,6.0,6,,,,,,
,,,,,625,6.0,6,,,,,,
,,,,,629,4.0,4,,,,,,
,,,,,632,3.0,3,,,,,,
,,,,,637,5.0,5,,,,,,
,,,,,647,10.0,10,,,,,,
,,,,,654,7.0,7,,,,,,
,,,,,658,4.0,4,,,,,,
,,,,,668,10.0,10,,,,,,
,,,,,673,5.0,5,,,,,,
,,,,,677,4.0,4,,,,,,
,,,,,683,6.0,6,,,,,,
,,,,,688,5.0,5,,,,,,
,,,,,692,4.0,4,,,,,,
,,,,,697,5.0,5,,,,,,
,,,,,701,4.0,4,,,,,,
,,,,,708,7.0,7,,,,,,
,,,,,712,4.0,4,,,,,,
,,,,,716,4.0,4,,,,,,
,,,,,720,4.0,4,,,,,,
,,,,,724,4.0,4,,,,,,
,,,,,729,5.0,5,,,,,,
,,,,,732,3.0,3,,,,,,
,,,,,744,12.0,12,,,,,,
,,,,,748,4.0,4,,,,,,
,,,,,753,5.0,5,,,,,,
,,,,,760,7.0,7,,,,,,
,,,,,764,4.0,4,,,,,,
,,,,,768,4.0,4,,,,,,
,,,,,774,6.0,6,,,,,,
,,,,,779,5.0,5,,,,,,
,,,,,784,5.0,5,,,,,,
,,,,,789,5.0,5,,,,,,
,,,,,795,6.0,6,,,,,,
,,,,,807,12.0,12,,,,,,
,,,,,810,3.0,3,,,,,,
,,,,,817,7.0,7,,,,,,
,,,,,821,4.0,4,,,,,,
,,,,,830,9.0,9,,,,,,
,,,,,842,12.0,12,,,,,,
,,,,,845,3.0,3,,,,,,
,,,,,848,3.0,3,,,,,,
,,,,,856,8.0,8,,,,,,
,,,,,861,5.0,5,,,,,,
,,,,,865,4.0,4,,,,,,
,,,,,872,7.0,7,,,,,,
,,,,,875,3.0,3,,,,,,
,,,,,879,4.0,4,,,,,,
,,,,,883,4.0,4,,,,,,
,,,,,891,8.0,8,,,,,,
,,,,,895,4.0,4,,,,,,
,,,,,902,7.0,7,,,,,,
,,,,,913,11.0,11,,,,,,
,,,,,918,5.0,5,,,,,,
,,,,,922,4.0,4,,,,,,
,,,,,925,3.0,3,,,,,,
,,,,,932,7.0,7,,,,,,
,,,,,935,3.0,3,,,,,,
,,,,,941,6.0,6,,,,,,
,,,,,948,7.0,7,,,,,,
,,,,,957,9.0,9,,,,,,
,,,,,964,7.0,7,,,,,,
,,,,,968,4.0,4,,,,,,
,,,,,972,4.0,4,,,,,,
,,,,,975,3.0,3,,,,,,
,,,,,978,3.0,3,,,,,,
,,,,,983,5.0,5,,,,,,
,,,,,988,5.0,5,,,,,,
,,,,,994,6.0,6,,,,,,
,,,,,1001,7.0,7,,,,,,
,,,,,1008,7.0,7,,,,,,
,,,,,1012,4.0,4,,,,,,
,,,,,1021,9.0,9,,,,,,
,,,,,1031,10.0,10,,,,,,
,,,,,1036,5.0,5,,,,,,
,,,,,1039,3.0,3,,,,,,
,,,,,1046,7.0,7,,,,,,
,,,,,1051,5.0,5,,,,,,
,,,,,1055,4.0,4,,,,,,
,,,,,1058,3.0,3,,,,,,
,,,,,1066,8.0,8,,,,,,
,,,,,1072,6.0,6,,,,,,
,,,,,1082,10.0,10,,,,,,
