Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.2,3.3406587,14.0,3.0,6.2,0,,,,,,,,,,
,,,,,12,13.0,13,,,,,,,,
,,,,,22,10.0,10,,,,,,,,
,,,,,25,3.0,3,,,,,,,,
,,,,,30,5.0,5,,,,,,,,
,,,,,34,4.0,4,,,,,,,,
,,,,,37,3.0,3,,,,,,,,
,,,,,46,9.0,9,,,,,,,,
,,,,,51,5.0,5,,,,,,,,
,,,,,54,3.0,3,,,,,,,,
,,,,,60,6.0,6,,,,,,,,
,,,,,63,3.0,3,,,,,,,,
,,,,,68,5.0,5,,,,,,,,
,,,,,75,7.0,7,,,,,,,,
,,,,,82,7.0,7,,,,,,,,
,,,,,89,7.0,7,,,,,,,,
,,,,,92,3.0,3,,,,,,,,
,,,,,96,4.0,4,,,,,,,,
,,,,,103,7.0,7,,,,,,,,
,,,,,118,15.0,15,,,,,,,,
,,,,,124,6.0,6,,,,,,,,
,,,,,129,5.0,5,,,,,,,,
,,,,,133,4.0,4,,,,,,,,
,,,,,141,8.0,8,,,,,,,,
,,,,,144,3.0,3,,,,,,,,
,,,,,151,7.0,7,,,,,,,,
,,,,,155,4.0,4,,,,,,,,
,,,,,160,5.0,5,,,,,,,,
,,,,,170,10.0,10,,,,,,,,
,,,,,174,4.0,4,,,,,,,,
,,,,,182,8.0,8,,,,,,,,
,,,,,189,7.0,7,,,,,,,,
,,,,,193,4.0,4,,,,,,,,
,,,,,201,8.0,8,,,,,,,,
,,,,,215,14.0,14,,,,,,,,
,,,,,221,6.0,6,,,,,,,,
,,,,,229,8.0,8,,,,,,,,
,,,,,235,6.0,6,,,,,,,,
,,,,,253,18.0,18,,,,,,,,
,,,,,261,8.0,8,,,,,,,,
,,,,,267,6.0,6,,,,,,,,
,,,,,274,7.0,7,,,,,,,,
,,,,,278,4.0,4,,,,,,,,
,,,,,282,4.0,4,,,,,,,,
,,,,,285,3.0,3,,,,,,,,
,,,,,289,4.0,4,,,,,,,,
,,,,,299,10.0,10,,,,,,,,
,,,,,306,7.0,7,,,,,,,,
,,,,,321,15.0,15,,,,,,,,
,,,,,325,4.0,4,,,,,,,,
,,,,,334,9.0,9,,,,,,,,
,,,,,338,4.0,4,,,,,,,,
,,,,,344,6.0,6,,,,,,,,
,,,,,361,17.0,17,,,,,,,,
,,,,,364,3.0,3,,,,,,,,
,,,,,369,5.0,5,,,,,,,,
,,,,,374,5.0,5,,,,,,,,
,,,,,379,5.0,5,,,,,,,,
,,,,,386,7.0,7,,,,,,,,
,,,,,391,5.0,5,,,,,,,,
,,,,,406,15.0,15,,,,,,,,
,,,,,414,8.0,8,,,,,,,,
,,,,,419,5.0,5,,,,,,,,
,,,,,422,3.0,3,,,,,,,,
,,,,,431,9.0,9,,,,,,,,
,,,,,436,5.0,5,,,,,,,,
,,,,,440,4.0,4,,,,,,,,
,,,,,443,3.0,3,,,,,,,,
,,,,,446,3.0,3,,,,,,,,
,,,,,450,4.0,4,,,,,,,,
,,,,,453,3.0,3,,,,,,,,
,,,,,464,11.0,11,,,,,,,,
,,,,,468,4.0,4,,,,,,,,
,,,,,472,4.0,4,,,,,,,,
,,,,,478,6.0,6,,,,,,,,
,,,,,484,6.0,6,,,,,,,,
,,,,,488,4.0,4,,,,,,,,
,,,,,493,5.0,5,,,,,,,,
,,,,,497,4.0,4,,,,,,,,
,,,,,501,4.0,4,,,,,,,,
,,,,,509,8.0,8,,,,,,,,
,,,,,515,6.0,6,,,,,,,,
,,,,,527,12.0,12,,,,,,,,
,,,,,533,6.0,6,,,,,,,,
,,,,,537,4.0,4,,,,,,,,
,,,,,541,4.0,4,,,,,,,,
,,,,,545,4.0,4,,,,,,,,
,,,,,552,7.0,7,,,,,,,,
,,,,,556,4.0,4,,,,,,,,
,,,,,560,4.0,4,,,,,,,,
,,,,,564,4.0,4,,,,,,,,
,,,,,569,5.0,5,,,,,,,,
,,,,,573,4.0,4,,,,,,,,
,,,,,582,9.0,9,,,,,,,,
,,,,,591,9.0,9,,,,,,,,
,,,,,596,5.0,5,,,,,,,,
,,,,,599,3.0,3,,,,,,,,
,,,,,605,6.0,6,,,,,,,,
,,,,,609,4.0,4,,,,,,,,
,,,,,630,21.0,21,,,,,,,,
,,,,,641,11.0,11,,,,,,,,
,,,,,645,4.0,4,,,,,,,,
,,,,,651,6.0,6,,,,,,,,
,,,,,654,3.0,3,,,,,,,,
,,,,,659,5.0,5,,,,,,,,
,,,,,663,4.0,4,,,,,,,,
,,,,,677,14.0,14,,,,,,,,
,,,,,683,6.0,6,,,,,,,,
,,,,,696,13.0,13,,,,,,,,
,,,,,705,9.0,9,,,,,,,,
,,,,,717,12.0,12,,,,,,,,
,,,,,725,8.0,8,,,,,,,,
,,,,,732,7.0,7,,,,,,,,
,,,,,737,5.0,5,,,,,,,,
,,,,,740,3.0,3,,,,,,,,
,,,,,743,3.0,3,,,,,,,,
,,,,,747,4.0,4,,,,,,,,
,,,,,750,3.0,3,,,,,,,,
,,,,,764,14.0,14,,,,,,,,
,,,,,769,5.0,5,,,,,,,,
,,,,,772,3.0,3,,,,,,,,
,,,,,782,10.0,10,,,,,,,,
,,,,,785,3.0,3,,,,,,,,
,,,,,788,3.0,3,,,,,,,,
,,,,,793,5.0,5,,,,,,,,
,,,,,799,6.0,6,,,,,,,,
,,,,,803,4.0,4,,,,,,,,
,,,,,806,3.0,3,,,,,,,,
,,,,,811,5.0,5,,,,,,,,
,,,,,815,4.0,4,,,,,,,,
,,,,,819,4.0,4,,,,,,,,
,,,,,822,3.0,3,,,,,,,,
,,,,,825,3.0,3,,,,,,,,
,,,,,838,13.0,13,,,,,,,,
,,,,,844,6.0,6,,,,,,,,
,,,,,851,7.0,7,,,,,,,,
,,,,,854,3.0,3,,,,,,,,
,,,,,862,8.0,8,,,,,,,,
,,,,,867,5.0,5,,,,,,,,
,,,,,873,6.0,6,,,,,,,,
,,,,,877,4.0,4,,,,,,,,
,,,,,887,10.0,10,,,,,,,,
,,,,,895,8.0,8,,,,,,,,
,,,,,898,3.0,3,,,,,,,,
,,,,,902,4.0,4,,,,,,,,
,,,,,906,4.0,4,,,,,,,,
,,,,,925,19.0,19,,,,,,,,
,,,,,929,4.0,4,,,,,,,,
,,,,,934,5.0,5,,,,,,,,
,,,,,939,5.0,5,,,,,,,,
,,,,,943,4.0,4,,,,,,,,
,,,,,946,3.0,3,,,,,,,,
