Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-1164.6311,749.5253,-388.15005,-3017.5884,149.9,0,,,,,,,,
,,,,,113,-137.6508,114,,,,,,
,,,,,180,-80.589134,67,,,,,,
,,,,,266,-376.66183,86,,,,,,
,,,,,368,-383.4969,102,,,,,,
,,,,,444,-59.016075,76,,,,,,
,,,,,522,-220.05316,78,,,,,,
,,,,,613,-106.6368,91,,,,,,
,,,,,719,-333.38217,106,,,,,,
,,,,,842,-188.08809,123,,,,,,
,,,,,971,-165.39919,129,,,,,,
,,,,,1061,-189.49408,90,,,,,,
,,,,,1148,-98.56554,87,,,,,,
,,,,,1211,-80.3648,63,,,,,,
,,,,,1316,-154.45918,105,,,,,,
,,,,,1440,-519.3441,124,,,,,,
,,,,,1521,-141.98965,81,,,,,,
,,,,,1636,-227.28383,115,,,,,,
,,,,,1715,-76.47142,79,,,,,,
,,,,,1781,-37.3898,66,,,,,,
,,,,,1846,-74.068665,65,,,,,,
,,,,,1988,-491.0582,142,,,,,,
,,,,,2106,-218.41165,118,,,,,,
,,,,,2176,-82.64417,70,,,,,,
,,,,,2262,-124.823685,86,,,,,,
,,,,,2327,19.910873,65,,,,,,
,,,,,2443,-49.15773,116,,,,,,
,,,,,2525,-120.50117,82,,,,,,
,,,,,2633,-253.35402,108,,,,,,
,,,,,2696,-128.29236,63,,,,,,
,,,,,2776,-96.67854,80,,,,,,
,,,,,2890,-95.70575,114,,,,,,
,,,,,2998,-105.483986,108,,,,,,
,,,,,3098,-220.09976,100,,,,,,
,,,,,3200,-11.850967,102,,,,,,
,,,,,3269,-305.21933,69,,,,,,
,,,,,3375,-100.78886,106,,,,,,
,,,,,3460,-354.34085,85,,,,,,
,,,,,3557,-296.04962,97,,,,,,
,,,,,3659,-124.161156,102,,,,,,
,,,,,3752,-133.52576,93,,,,,,
,,,,,3862,-150.25931,110,,,,,,
,,,,,3923,-130.30702,61,,,,,,
,,,,,4019,-211.71548,96,,,,,,
,,,,,4093,-102.09999,74,,,,,,
,,,,,4165,-163.51785,72,,,,,,
,,,,,4228,-37.206253,63,,,,,,
,,,,,4330,-326.11996,102,,,,,,
,,,,,4446,-140.11575,116,,,,,,
,,,,,4569,-120.80968,123,,,,,,
,,,,,4677,-113.40976,108,,,,,,
,,,,,4747,-5.4984894,70,,,,,,
,,,,,4841,-211.76025,94,,,,,,
,,,,,4918,-110.78515,77,,,,,,
,,,,,4991,-175.7482,73,,,,,,
,,,,,5078,-122.36574,87,,,,,,
,,,,,5147,-154.6035,69,,,,,,
,,,,,5254,-375.75604,107,,,,,,
,,,,,5353,-233.00674,99,,,,,,
,,,,,5445,-90.1208,92,,,,,,
,,,,,5506,-79.33687,61,,,,,,
,,,,,5582,-91.265015,76,,,,,,
,,,,,5691,-77.53412,109,,,,,,
,,,,,5754,-99.65623,63,,,,,,
,,,,,5874,-214.66731,120,,,,,,
,,,,,5969,-140.30774,95,,,,,,
,,,,,6066,-101.69052,97,,,,,,
,,,,,6154,-150.57008,88,,,,,,
,,,,,6272,-168.97903,118,,,,,,
,,,,,6369,-81.44551,97,,,,,,
,,,,,6504,-221.47699,135,,,,,,
,,,,,6573,-240.24448,69,,,,,,
,,,,,6660,-114.366745,87,,,,,,
,,,,,6780,-82.79843,120,,,,,,
,,,,,6918,-149.40747,138,,,,,,
,,,,,6988,-72.150024,70,,,,,,
,,,,,7103,-57.676987,115,,,,,,
,,,,,7214,-60.19214,111,,,,,,
,,,,,7305,-366.63467,91,,,,,,
,,,,,7400,-353.1722,95,,,,,,
,,,,,7506,-169.91058,106,,,,,,
,,,,,7637,-187.72488,131,,,,,,
,,,,,7720,-176.03653,83,,,,,,
,,,,,7828,-359.62335,108,,,,,,
,,,,,7907,-72.50141,79,,,,,,
,,,,,8014,-240.71506,107,,,,,,
,,,,,8078,-129.22977,64,,,,,,
,,,,,8172,-382.1957,94,,,,,,
,,,,,8267,-224.51697,95,,,,,,
,,,,,8445,-166.31866,178,,,,,,
,,,,,8531,-171.50266,86,,,,,,
,,,,,8605,-88.126915,74,,,,,,
,,,,,8722,-507.3584,117,,,,,,
,,,,,8832,-238.62904,110,,,,,,
,,,,,8917,-238.29196,85,,,,,,
,,,,,9017,-601.9699,100,,,,,,
,,,,,9095,-251.38297,78,,,,,,
,,,,,9230,-142.81522,135,,,,,,
,,,,,9350,-206.54333,120,,,,,,
,,,,,9451,-113.82701,101,,,,,,
,,,,,9578,-366.72653,127,,,,,,
,,,,,9720,-187.67154,142,,,,,,
,,,,,9822,-297.38675,102,,,,,,
,,,,,9902,-262.97266,80,,,,,,
,,,,,9998,-77.63333,96,,,,,,
-817.3146,443.9849,-390.65234,-2035.5854,106.9,10000,,,,,,,,
,,,,,10074,-80.31326,76,,,,,,
,,,,,10140,-202.0955,66,,,,,,
,,,,,10205,-245.60947,65,,,,,,
,,,,,10268,-241.97693,63,,,,,,
,,,,,10347,-340.17578,79,,,,,,
,,,,,10486,-100.08286,139,,,,,,
,,,,,10572,-190.97736,86,,,,,,
,,,,,10660,-334.55237,88,,,,,,
,,,,,10781,-152.72491,121,,,,,,
,,,,,10879,-113.07572,98,,,,,,
,,,,,11012,-354.93152,133,,,,,,
,,,,,11144,-346.9876,132,,,,,,
,,,,,11206,-75.18152,62,,,,,,
,,,,,11345,-124.95127,139,,,,,,
