Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-767.42737,418.75717,-445.4557,-1749.7538,102.3,0,,,,,,,,
,,,,,69,-246.74232,70,,,,,,
,,,,,201,-54.096504,132,,,,,,
,,,,,284,-84.89345,83,,,,,,
,,,,,351,-157.77338,67,,,,,,
,,,,,412,-97.007706,61,,,,,,
,,,,,525,-212.57881,113,,,,,,
,,,,,607,-118.65689,82,,,,,,
,,,,,673,-178.41843,66,,,,,,
,,,,,738,-72.77815,65,,,,,,
,,,,,796,-84.3243,58,,,,,,
,,,,,927,-207.4855,131,,,,,,
,,,,,1043,-100.38965,116,,,,,,
,,,,,1122,-139.8075,79,,,,,,
,,,,,1212,-116.731285,90,,,,,,
,,,,,1276,-107.67114,64,,,,,,
,,,,,1345,-33.747726,69,,,,,,
,,,,,1469,-429.88382,124,,,,,,
,,,,,1526,-73.69216,57,,,,,,
,,,,,1642,-148.89345,116,,,,,,
,,,,,1712,-238.75154,70,,,,,,
,,,,,1783,-94.52878,71,,,,,,
,,,,,1877,-105.4729,94,,,,,,
,,,,,1982,-465.74542,105,,,,,,
,,,,,2053,-118.29019,71,,,,,,
,,,,,2154,-364.02197,101,,,,,,
,,,,,2214,-77.9921,60,,,,,,
,,,,,2291,-78.29079,77,,,,,,
,,,,,2357,-72.71323,66,,,,,,
,,,,,2459,-282.96906,102,,,,,,
,,,,,2582,-200.57776,123,,,,,,
,,,,,2704,-45.835243,122,,,,,,
,,,,,2774,-193.90936,70,,,,,,
,,,,,2864,-276.16544,90,,,,,,
,,,,,2929,-119.58092,65,,,,,,
,,,,,3023,-136.72104,94,,,,,,
,,,,,3092,-93.353,69,,,,,,
,,,,,3156,-12.916893,64,,,,,,
,,,,,3242,-205.29755,86,,,,,,
,,,,,3371,-26.315552,129,,,,,,
,,,,,3469,-108.63683,98,,,,,,
,,,,,3555,-157.59236,86,,,,,,
,,,,,3691,-61.45045,136,,,,,,
,,,,,3821,-241.79565,130,,,,,,
,,,,,3892,-69.8843,71,,,,,,
,,,,,4045,-165.9268,153,,,,,,
,,,,,4110,-107.52304,65,,,,,,
