Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,487,230.0,1970,,,,,,
,,,,,885,120.0,1602,,,,,,
,,,,,1414,300.0,2130,,,,,,
,,,,,1731,160.0,1282,,,,,,
,,,,,2212,260.0,1946,,,,,,
,,,,,2686,170.0,1906,,,,,,
,,,,,3163,170.0,1906,,,,,,
,,,,,3661,230.0,2010,,,,,,
,,,,,4052,190.0,1578,,,,,,
,,,,,4573,230.0,2114,,,,,,
,,,,,5134,460.0,2258,,,,,,
,,,,,5669,300.0,2154,,,,,,
,,,,,6117,210.0,1802,,,,,,
,,,,,6615,260.0,2010,,,,,,
,,,,,7067,250.0,1810,,,,,,
,,,,,7527,270.0,1842,,,,,,
,,,,,8039,260.0,2058,,,,,,
,,,,,8553,220.0,2066,,,,,,
,,,,,8976,220.0,1698,,,,,,
,,,,,9500,230.0,2114,,,,,,
,,,,,9946,230.0,1810,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10429,210.0,1938,,,,,,
,,,,,10832,170.0,1634,,,,,,
,,,,,11319,260.0,1970,,,,,,
,,,,,11879,340.0,2266,,,,,,
,,,,,12339,220.0,1858,,,,,,
,,,,,12864,270.0,2122,,,,,,
,,,,,13390,320.0,2114,,,,,,
,,,,,13900,220.0,2042,,,,,,
,,,,,14374,250.0,1906,,,,,,
,,,,,14896,340.0,2090,,,,,,
,,,,,15285,170.0,1562,,,,,,
,,,,,15721,160.0,1770,,,,,,
,,,,,16403,370.0,2746,,,,,,
,,,,,16820,180.0,1674,,,,,,
,,,,,17306,230.0,1962,,,,,,
,,,,,17796,280.0,1986,,,,,,
,,,,,18307,350.0,2042,,,,,,
,,,,,18711,150.0,1626,,,,,,
,,,,,19173,230.0,1850,,,,,,
,,,,,19752,370.0,2330,,,,,,
60.0,0.0,60.0,60.0,1930.0,20000,,,3.1494147777557373,-0.005522488616406918,0.35629960894584656,0.8790807723999023,1.0,0.0001
,,,,,20324,320.0,2306,,,,,,
,,,,,20781,270.0,1842,,,,,,
,,,,,21000,,,3.112549066543579,0.5532888174057007,0.3557235598564148,3.410825490951538,0.9979375,0.0001
,,,,,21427,380.0,2594,,,,,,
,,,,,21886,240.0,1834,,,,,,
,,,,,22000,,,11.560611724853516,0.4932018518447876,1.2933298349380493,9.00682258605957,0.995875,0.0001
,,,,,22493,330.0,2434,,,,,,
,,,,,22958,180.0,1890,,,,,,
,,,,,23000,,,5.473758220672607,1.160141110420227,1.3642627000808716,10.664886474609375,0.9938125,0.0001
,,,,,23692,960.0,2946,,,,,,
,,,,,24000,,,3.0331640243530273,0.8933334350585938,0.9637926816940308,5.916045188903809,0.99175,0.0001
,,,,,24152,210.0,1866,,,,,,
,,,,,24609,260.0,1850,,,,,,
,,,,,25000,,,0.23135337233543396,1.2661242485046387,0.9745649695396423,6.020803451538086,0.9896875,0.0001
,,,,,25011,230.0,1618,,,,,,
,,,,,25479,180.0,1874,,,,,,
,,,,,25873,280.0,1602,,,,,,
,,,,,26000,,,14.3500337600708,1.6110155582427979,2.7330005168914795,29.126190185546875,0.987625,0.0001
,,,,,26234,130.0,1474,,,,,,
,,,,,26961,1940.0,2922,,,,,,
,,,,,27000,,,8.220874786376953,1.7482287883758545,2.5603723526000977,28.060985565185547,0.9855625,0.0001
,,,,,27399,190.0,1778,,,,,,
,,,,,27884,220.0,1938,,,,,,
,,,,,28000,,,8.929569244384766,1.9369889497756958,2.5917420387268066,20.991037368774414,0.9835,0.0001
,,,,,28367,180.0,1938,,,,,,
,,,,,28894,280.0,2138,,,,,,
,,,,,29000,,,5.384119033813477,2.5210800170898438,2.937161684036255,21.228126525878906,0.9814375,0.0001
,,,,,29315,240.0,1698,,,,,,
,,,,,29819,280.0,2034,,,,,,
170.0,110.0,280.0,60.0,2147.6,30000,,,7.758750915527344,2.5355069637298584,3.235358238220215,38.191219329833984,0.979375,0.0001
,,,,,30271,250.0,1810,,,,,,
,,,,,30734,120.0,1874,,,,,,
,,,,,31000,,,3.5143659114837646,2.6175596714019775,2.6248631477355957,9.169771194458008,0.9773125,0.0001
,,,,,31562,560.0,3330,,,,,,
,,,,,32000,,,3.228111505508423,2.984318494796753,3.0651538372039795,13.615551948547363,0.97525,0.0001
,,,,,32054,330.0,1970,,,,,,
,,,,,32598,300.0,2178,,,,,,
,,,,,33000,,,0.5686367750167847,3.2075107097625732,2.9965577125549316,18.671926498413086,0.9731875,0.0001
,,,,,33074,320.0,1906,,,,,,
,,,,,33564,230.0,1978,,,,,,
,,,,,34000,,,4.95830774307251,2.454866886138916,3.007359504699707,40.624229431152344,0.971125,0.0001
,,,,,34080,280.0,2082,,,,,,
,,,,,34719,430.0,2554,,,,,,
,,,,,35000,,,4.004092216491699,4.427769660949707,4.0027756690979,36.6440544128418,0.9690625,0.0001
,,,,,35254,190.0,2146,,,,,,
,,,,,35785,320.0,2122,,,,,,
,,,,,36000,,,4.749432563781738,4.632238388061523,5.025138854980469,58.11667251586914,0.967,0.0001
,,,,,36327,210.0,2186,,,,,,
,,,,,36742,170.0,1658,,,,,,
,,,,,37000,,,1.408807396888733,4.598974227905273,3.6865391731262207,77.32308959960938,0.9649375,0.0001
,,,,,37192,210.0,1826,,,,,,
,,,,,37734,260.0,2194,,,,,,
,,,,,38000,,,6.990592002868652,5.147365570068359,5.366481781005859,69.08404541015625,0.962875,0.0001
,,,,,38250,230.0,2090,,,,,,
,,,,,38710,230.0,1850,,,,,,
,,,,,39000,,,3.8988184928894043,6.399378776550293,6.262019634246826,38.44470977783203,0.9608125,0.0001
,,,,,39225,300.0,2058,,,,,,
,,,,,39743,280.0,2098,,,,,,
455.0,193.04144,690.0,260.0,2258.0,40000,,,6.278151035308838,5.09415340423584,5.5276103019714355,77.68436431884766,0.95875,9.999989583333334e-05
,,,,,40224,250.0,1938,,,,,,
,,,,,40684,240.0,1842,,,,,,
,,,,,41000,,,11.692754745483398,5.145323753356934,6.438385963439941,156.7662811279297,0.9566875,9.989572916666667e-05
,,,,,41234,360.0,2202,,,,,,
,,,,,41739,310.0,2026,,,,,,
,,,,,42000,,,4.302974700927734,5.8319411277771,5.857297897338867,77.25826263427734,0.9546250000000001,9.97915625e-05
,,,,,42199,180.0,1866,,,,,,
,,,,,42715,260.0,2082,,,,,,
,,,,,43000,,,3.4439148902893066,6.082730293273926,6.115712642669678,60.09699249267578,0.9525625,9.968739583333334e-05
,,,,,43087,120.0,1490,,,,,,
,,,,,43559,250.0,1914,,,,,,
,,,,,44000,,,4.822654724121094,5.999886512756348,6.242586135864258,61.853858947753906,0.9505,9.958322916666667e-05
,,,,,44003,200.0,1794,,,,,,
,,,,,44462,220.0,1850,,,,,,
,,,,,44888,270.0,1714,,,,,,
,,,,,45000,,,3.221397876739502,6.1893439292907715,5.552461624145508,158.03915405273438,0.9484375,9.947906250000001e-05
,,,,,45219,130.0,1330,,,,,,
,,,,,45820,240.0,2410,,,,,,
,,,,,46000,,,5.8386640548706055,8.198230743408203,7.898813247680664,66.3857192993164,0.946375,9.937489583333334e-05
,,,,,46256,280.0,1770,,,,,,
,,,,,46767,320.0,2066,,,,,,
,,,,,47000,,,4.594080448150635,7.294457912445068,8.106634140014648,162.64227294921875,0.9443125,9.927072916666668e-05
,,,,,47292,300.0,2122,,,,,,
,,,,,47778,380.0,1946,,,,,,
,,,,,48000,,,7.780139446258545,7.428881645202637,8.492305755615234,240.42498779296875,0.94225,9.916656250000001e-05
,,,,,48273,330.0,1994,,,,,,
,,,,,48735,190.0,1850,,,,,,
,,,,,49000,,,6.5610222816467285,9.932533264160156,10.509358406066895,155.26220703125,0.9401875,9.906239583333335e-05
,,,,,49301,250.0,2290,,,,,,
,,,,,49848,260.0,2202,,,,,,
421.0,123.081276,610.0,290.0,1911.6,50000,,,3.299654960632324,8.928722381591797,8.622166633605957,87.40801239013672,0.938125,9.895822916666668e-05
,,,,,50398,290.0,2210,,,,,,
,,,,,50944,290.0,2202,,,,,,
,,,,,51000,,,7.233493804931641,10.178789138793945,8.441707611083984,416.0348205566406,0.9360625,9.88540625e-05
,,,,,51468,330.0,2106,,,,,,
,,,,,52000,,,3.653210163116455,9.461736679077148,8.511224746704102,238.8026580810547,0.9339999999999999,9.874989583333334e-05
,,,,,52018,330.0,2218,,,,,,
,,,,,52455,190.0,1762,,,,,,
,,,,,52875,250.0,1682,,,,,,
,,,,,53000,,,5.191383361816406,10.377881050109863,11.101537704467773,200.72927856445312,0.9319375,9.864572916666666e-05
,,,,,53384,250.0,2042,,,,,,
,,,,,53864,340.0,1930,,,,,,
,,,,,54000,,,6.898183822631836,10.172672271728516,10.06157112121582,113.3589096069336,0.929875,9.85415625e-05
,,,,,54332,190.0,1890,,,,,,
,,,,,54813,330.0,1930,,,,,,
,,,,,55000,,,3.780489444732666,12.305390357971191,12.986351013183594,146.59793090820312,0.9278125,9.843739583333333e-05
,,,,,55284,280.0,1914,,,,,,
,,,,,55730,220.0,1786,,,,,,
,,,,,56000,,,26.629526138305664,13.244889259338379,13.779729843139648,378.7102355957031,0.92575,9.833322916666668e-05
,,,,,56205,170.0,1906,,,,,,
,,,,,56603,260.0,1602,,,,,,
,,,,,56946,170.0,1378,,,,,,
,,,,,57000,,,6.579170227050781,14.30152702331543,13.835456848144531,134.96194458007812,0.9236875,9.82290625e-05
,,,,,57330,200.0,1538,,,,,,
,,,,,57779,250.0,1802,,,,,,
,,,,,58000,,,7.20015811920166,13.2166166305542,13.107345581054688,126.12958526611328,0.921625,9.812489583333335e-05
,,,,,58283,260.0,2034,,,,,,
,,,,,58816,250.0,2138,,,,,,
,,,,,59000,,,11.769068717956543,15.824790954589844,15.85583782196045,163.97142028808594,0.9195625000000001,9.802072916666668e-05
,,,,,59285,280.0,1898,,,,,,
,,,,,59780,290.0,2010,,,,,,
493.0,118.66339,650.0,310.0,2935.6,60000,,,5.0012054443359375,13.76834487915039,13.854915618896484,79.58353424072266,0.9175,9.79165625e-05
,,,,,60301,280.0,2106,,,,,,
,,,,,60758,270.0,1834,,,,,,
,,,,,61000,,,5.612114906311035,15.95362663269043,15.386076927185059,206.6569366455078,0.9154375,9.781239583333333e-05
,,,,,61232,210.0,1922,,,,,,
,,,,,61879,480.0,2610,,,,,,
,,,,,62000,,,5.411144256591797,15.487922668457031,14.662339210510254,235.7599334716797,0.913375,9.770822916666668e-05
,,,,,62391,380.0,2074,,,,,,
,,,,,62899,320.0,2034,,,,,,
,,,,,63000,,,5.434674263000488,13.85261344909668,14.759736061096191,241.21763610839844,0.9113125,9.76040625e-05
,,,,,63359,200.0,1842,,,,,,
,,,,,63902,220.0,2202,,,,,,
,,,,,64000,,,1.9470157623291016,16.420621871948242,15.905527114868164,156.8956756591797,0.90925,9.749989583333335e-05
,,,,,64401,240.0,2002,,,,,,
,,,,,64821,230.0,1706,,,,,,
,,,,,65000,,,46.348514556884766,15.517827033996582,15.82731819152832,1014.9816284179688,0.9071875,9.739572916666667e-05
,,,,,65307,240.0,1954,,,,,,
,,,,,65802,220.0,2002,,,,,,
,,,,,66000,,,7.8979811668396,15.775338172912598,16.728084564208984,210.7379608154297,0.905125,9.72915625e-05
,,,,,66302,210.0,2002,,,,,,
,,,,,66663,180.0,1442,,,,,,
,,,,,66994,220.0,1330,,,,,,
,,,,,67000,,,5.327836036682129,15.582748413085938,14.80129337310791,236.0474853515625,0.9030625,9.718739583333334e-05
,,,,,67450,250.0,1826,,,,,,
,,,,,67976,180.0,2114,,,,,,
,,,,,68000,,,6.78563117980957,15.236400604248047,13.681317329406738,363.94366455078125,0.901,9.708322916666667e-05
,,,,,68394,260.0,1698,,,,,,
,,,,,68940,270.0,2202,,,,,,
,,,,,69000,,,9.469953536987305,19.154945373535156,19.460060119628906,178.8754425048828,0.8989375,9.69790625e-05
,,,,,69455,230.0,2090,,,,,,
,,,,,69885,220.0,1722,,,,,,
372.0,157.53094,600.0,170.0,1843.6,70000,,,3.538806676864624,19.912723541259766,19.195858001708984,210.83460998535156,0.896875,9.687489583333333e-05
,,,,,70351,250.0,1874,,,,,,
,,,,,70853,210.0,2026,,,,,,
,,,,,71000,,,5.49509334564209,22.85732650756836,21.122716903686523,500.2511901855469,0.8948125,9.677072916666667e-05
,,,,,71362,350.0,2034,,,,,,
,,,,,71767,190.0,1642,,,,,,
,,,,,72000,,,5.390748977661133,20.295719146728516,18.944469451904297,312.8653259277344,0.89275,9.66665625e-05
,,,,,72336,270.0,2290,,,,,,
,,,,,72796,300.0,1858,,,,,,
,,,,,73000,,,22.75827407836914,22.55652618408203,22.12490463256836,324.0653991699219,0.8906875,9.656239583333334e-05
,,,,,73256,200.0,1866,,,,,,
,,,,,73700,310.0,1794,,,,,,
,,,,,74000,,,42.711936950683594,21.52518653869629,21.833633422851562,1139.5313720703125,0.888625,9.645822916666667e-05
,,,,,74255,240.0,2242,,,,,,
,,,,,74589,230.0,1354,,,,,,
,,,,,75000,,,21.93667984008789,20.057064056396484,21.05078887939453,210.05987548828125,0.8865625,9.635406250000001e-05
,,,,,75134,200.0,2186,,,,,,
,,,,,75605,210.0,1914,,,,,,
,,,,,76000,,,19.303619384765625,20.430526733398438,20.18511390686035,312.064697265625,0.8845,9.624989583333334e-05
,,,,,76056,230.0,1818,,,,,,
,,,,,76615,350.0,2242,,,,,,
,,,,,77000,,,5.149570465087891,20.888315200805664,19.40740966796875,414.5084533691406,0.8824375,9.614572916666667e-05
,,,,,77375,410.0,3050,,,,,,
,,,,,77830,200.0,1834,,,,,,
,,,,,78000,,,6.1948699951171875,25.39731216430664,25.21469497680664,203.9460906982422,0.880375,9.60415625e-05
,,,,,78326,270.0,1994,,,,,,
,,,,,78867,270.0,2170,,,,,,
,,,,,79000,,,4.918355941772461,21.266408920288086,21.145524978637695,127.50851440429688,0.8783125,9.593739583333334e-05
,,,,,79377,260.0,2058,,,,,,
,,,,,79847,190.0,1906,,,,,,
459.0,235.0936,890.0,240.0,2306.8,80000,,,3.380528450012207,19.686546325683594,19.079347610473633,193.26116943359375,0.87625,9.583322916666667e-05
,,,,,80260,180.0,1658,,,,,,
,,,,,80773,300.0,2066,,,,,,
,,,,,81000,,,8.387338638305664,25.96083641052246,24.722190856933594,541.93359375,0.8741875,9.57290625e-05
,,,,,81405,380.0,2538,,,,,,
,,,,,81959,340.0,2226,,,,,,
,,,,,82000,,,8.26467514038086,25.999210357666016,26.904834747314453,326.9029846191406,0.872125,9.562489583333334e-05
,,,,,82429,210.0,1890,,,,,,
,,,,,82916,270.0,1954,,,,,,
,,,,,83000,,,5.16191291809082,22.028892517089844,22.33415412902832,169.98114013671875,0.8700625,9.552072916666667e-05
,,,,,83445,250.0,2138,,,,,,
,,,,,83938,290.0,1994,,,,,,
,,,,,84000,,,2.545374870300293,26.520305633544922,26.0633544921875,163.6045379638672,0.868,9.541656250000001e-05
,,,,,84436,310.0,2018,,,,,,
,,,,,84825,110.0,1570,,,,,,
,,,,,85000,,,6.199502944946289,21.758426666259766,21.718406677246094,192.82461547851562,0.8659375,9.531239583333334e-05
,,,,,85289,200.0,1858,,,,,,
,,,,,85886,320.0,2402,,,,,,
,,,,,86000,,,3.1318459510803223,19.20722198486328,18.98944854736328,123.75901794433594,0.863875,9.520822916666667e-05
,,,,,86303,240.0,1674,,,,,,
,,,,,86870,390.0,2274,,,,,,
,,,,,87000,,,8.208091735839844,24.599891662597656,25.390419006347656,396.6855163574219,0.8618125,9.51040625e-05
,,,,,87368,270.0,2018,,,,,,
,,,,,87743,170.0,1514,,,,,,
,,,,,88000,,,1.662331461906433,22.554088592529297,22.302364349365234,97.69705963134766,0.85975,9.499989583333334e-05
,,,,,88188,310.0,1794,,,,,,
,,,,,88730,360.0,2186,,,,,,
,,,,,89000,,,6.948160171508789,25.2379093170166,24.91982650756836,145.27491760253906,0.8576875,9.489572916666667e-05
,,,,,89163,240.0,1738,,,,,,
,,,,,89688,350.0,2106,,,,,,
599.0,339.33612,1010.0,290.0,2539.6,90000,,,4.489519119262695,27.665176391601562,26.757526397705078,305.3508605957031,0.855625,9.479156250000001e-05
,,,,,90198,210.0,2042,,,,,,
,,,,,91000,,,1.6658647060394287,17.61076545715332,17.04843521118164,154.32911682128906,0.8535625,9.468739583333334e-05
,,,,,91153,490.0,3834,,,,,,
,,,,,91536,240.0,1538,,,,,,
,,,,,92000,,,2.812587261199951,26.81470489501953,26.502525329589844,155.6321258544922,0.8515,9.458322916666668e-05
,,,,,92043,300.0,2034,,,,,,
,,,,,92563,250.0,2082,,,,,,
,,,,,93000,,,10.639790534973145,27.879911422729492,27.56368637084961,210.48251342773438,0.8494375000000001,9.447906250000001e-05
,,,,,93082,230.0,2098,,,,,,
,,,,,93530,320.0,1794,,,,,,
,,,,,93905,190.0,1530,,,,,,
,,,,,94000,,,4.974545478820801,29.603384017944336,29.805727005004883,188.89230346679688,0.847375,9.437489583333334e-05
,,,,,94443,190.0,2154,,,,,,
,,,,,94846,260.0,1634,,,,,,
,,,,,95000,,,18.924104690551758,26.31739044189453,26.84864044189453,304.46697998046875,0.8453125,9.427072916666667e-05
,,,,,95241,230.0,1594,,,,,,
,,,,,95727,300.0,1946,,,,,,
,,,,,96000,,,6.843504428863525,21.43227767944336,20.68404769897461,255.42276000976562,0.84325,9.41665625e-05
,,,,,96143,210.0,1682,,,,,,
,,,,,96677,240.0,2154,,,,,,
,,,,,97000,,,4.455966949462891,24.981019973754883,23.652130126953125,378.1703796386719,0.8411875,9.406239583333334e-05
,,,,,97181,290.0,2026,,,,,,
,,,,,97661,290.0,1938,,,,,,
,,,,,98000,,,18.875394821166992,30.420135498046875,30.267410278320312,269.9953308105469,0.839125,9.395822916666667e-05
,,,,,98071,210.0,1650,,,,,,
,,,,,98556,300.0,1946,,,,,,
,,,,,99000,,,6.007355213165283,28.04776382446289,28.32553482055664,185.72669982910156,0.8370625,9.385406250000001e-05
,,,,,99135,350.0,2338,,,,,,
,,,,,99640,190.0,2042,,,,,,
180.0,57.965508,260.0,120.0,2095.6,100000,,,10.747608184814453,27.9903564453125,29.028993606567383,395.2804870605469,0.835,9.374989583333334e-05
,,,,,100088,280.0,1802,,,,,,
,,,,,100559,340.0,1898,,,,,,
,,,,,101000,,,3.351219415664673,29.084156036376953,29.246807098388672,205.44073486328125,0.8329375,9.364572916666668e-05
,,,,,101082,210.0,2106,,,,,,
,,,,,101465,230.0,1554,,,,,,
,,,,,101987,340.0,2090,,,,,,
,,,,,102000,,,10.57815170288086,30.10921287536621,31.22121810913086,382.9477233886719,0.830875,9.35415625e-05
,,,,,102380,280.0,1594,,,,,,
,,,,,102867,380.0,1970,,,,,,
,,,,,103000,,,23.77808952331543,25.022994995117188,26.579952239990234,371.22607421875,0.8288125,9.343739583333334e-05
,,,,,103504,380.0,2562,,,,,,
,,,,,103940,190.0,1762,,,,,,
,,,,,104000,,,3.3115437030792236,22.885719299316406,22.559059143066406,189.90919494628906,0.82675,9.333322916666666e-05
,,,,,104344,200.0,1634,,,,,,
,,,,,104732,240.0,1570,,,,,,
,,,,,105000,,,13.456775665283203,29.129230499267578,28.593334197998047,275.850341796875,0.8246875,9.32290625e-05
,,,,,105400,730.0,2674,,,,,,
,,,,,105924,330.0,2122,,,,,,
